Date,Avg_Player,Log_Player,Lag_Player,Discount_Ratio,Base_Price,Is_Weekend,Is_Holiday,Years_Since_Release,Trend_Index,Log_Twitch_Avg,Is_Major_Update,Is_Minor_Update
2022-02-25,764835.0,13.547416710741224,13.235022195543266,0.0,59.99,0,0,0.0027397260273972603,1.0,0.0,1,0
2022-02-26,861538.0,13.66647560380359,13.547416710741224,0.0,59.99,1,0,0.005479452054794521,1.0,0.0,1,0
2022-02-27,891638.0,13.700816621125371,13.66647560380359,0.0,59.99,1,0,0.00821917808219178,1.0,0.0,1,0
2022-02-28,819143.0,13.616015171555771,13.700816621125371,0.0,59.99,0,0,0.010958904109589041,1.0,0.0,1,0
2022-03-01,828001.0,13.626770848823417,13.616015171555771,0.0,59.99,0,0,0.0136986301369863,1.0,0.0,1,0
2022-03-02,823527.0,13.621352829236132,13.626770848823417,0.0,59.99,0,0,0.01643835616438356,1.0,0.0,0,0
2022-03-03,820921.0,13.618183377831066,13.621352829236132,0.0,59.99,0,0,0.019178082191780823,1.0,0.0,0,0
2022-03-04,858316.0,13.662728774104593,13.618183377831066,0.0,59.99,0,0,0.021917808219178082,1.0,0.0,0,0
2022-03-05,953426.0,13.76781814104979,13.662728774104593,0.0,59.99,1,0,0.024657534246575342,1.0,0.0,0,0
2022-03-06,944190.0,13.758083755170055,13.76781814104979,0.0,59.99,1,0,0.0273972602739726,1.0,0.0,0,0
2022-03-07,801048.0,13.593677397712556,13.758083755170055,0.0,59.99,0,0,0.030136986301369864,1.0,0.0,0,0
2022-03-08,779297.0,13.56614879342261,13.593677397712556,0.0,59.99,0,0,0.03287671232876712,1.0,0.0,0,0
2022-03-09,738122.0,13.51186575636193,13.56614879342261,0.0,59.99,0,0,0.03561643835616438,1.0,0.0,0,0
2022-03-10,703725.0,13.464144354834978,13.51186575636193,0.0,59.99,0,0,0.038356164383561646,1.0,0.0,0,0
2022-03-11,730458.0,13.501428382656636,13.464144354834978,0.0,59.99,0,0,0.0410958904109589,1.0,0.0,0,0
2022-03-12,825277.0,13.62347557825225,13.501428382656636,0.0,59.99,1,0,0.043835616438356165,1.0,0.0,0,0
2022-03-13,800301.0,13.592744435414867,13.62347557825225,0.0,59.99,1,0,0.04657534246575343,1.0,0.0,0,0
2022-03-14,635680.0,13.362452144165738,13.592744435414867,0.0,59.99,0,0,0.049315068493150684,1.0,0.0,0,0
2022-03-15,610847.0,13.322603434700628,13.362452144165738,0.0,59.99,0,0,0.052054794520547946,1.0,0.0,0,0
2022-03-16,589570.0,13.28715043275886,13.322603434700628,0.0,59.99,0,0,0.0547945205479452,1.0,0.0,0,0
2022-03-17,587284.0,13.283265500574874,13.28715043275886,0.0,59.99,0,0,0.057534246575342465,1.0,0.0,1,0
2022-03-18,611562.0,13.323773254150124,13.283265500574874,0.0,59.99,0,0,0.06027397260273973,1.0,0.0,1,0
2022-03-19,712336.0,13.476306393022828,13.323773254150124,0.0,59.99,1,0,0.06301369863013699,1.0,0.0,1,0
2022-03-20,694446.0,13.450871124369593,13.476306393022828,0.0,59.99,1,0,0.06575342465753424,1.0,0.0,1,0
2022-03-21,529881.0,13.18040961923057,13.450871124369593,0.0,59.99,0,0,0.0684931506849315,1.0,0.0,1,0
2022-03-22,507115.0,13.136495053247495,13.18040961923057,0.0,59.99,0,0,0.07123287671232877,1.0,0.0,1,0
2022-03-23,464532.0,13.048787878845992,13.136495053247495,0.0,59.99,0,0,0.07397260273972603,1.0,0.0,1,0
2022-03-24,468107.0,13.05645431750743,13.048787878845992,0.0,59.99,0,0,0.07671232876712329,1.0,0.0,1,0
2022-03-25,480052.0,13.081651793455269,13.05645431750743,0.0,59.99,0,0,0.07945205479452055,1.0,0.0,0,0
2022-03-26,563389.0,13.241727384888115,13.081651793455269,0.0,59.99,1,0,0.0821917808219178,1.0,0.0,0,0
2022-03-27,546667.0,13.211596950153687,13.241727384888115,0.0,59.99,1,0,0.08493150684931507,1.0,0.0,0,0
2022-03-28,414946.0,12.935906080213737,13.211596950153687,0.0,59.99,0,0,0.08767123287671233,1.0,0.0,0,0
2022-03-29,399484.0,12.897931496549896,12.935906080213737,0.0,59.99,0,0,0.09041095890410959,1.0,0.0,0,0
2022-03-30,378861.0,12.844927301663216,12.897931496549896,0.0,59.99,0,0,0.09315068493150686,1.0,0.0,0,0
2022-03-31,368498.0,12.81719327690364,12.844927301663216,0.0,59.99,0,0,0.0958904109589041,1.0,0.0,0,0
2022-04-01,375625.0,12.836349246497683,12.81719327690364,0.0,59.99,0,0,0.09863013698630137,0.4,0.0,0,0
2022-04-02,455103.0,13.028281243243189,12.836349246497683,0.0,59.99,1,0,0.10136986301369863,0.4,0.0,0,0
2022-04-03,457182.0,13.03283902735935,13.028281243243189,0.0,59.99,1,0,0.10410958904109589,0.4,0.0,0,0
2022-04-04,339322.0,12.734707735094423,13.03283902735935,0.0,59.99,0,0,0.10684931506849316,0.4,0.0,0,0
2022-04-05,317968.0,12.669709172733683,12.734707735094423,0.0,59.99,0,0,0.1095890410958904,0.4,0.0,0,0
2022-04-06,300169.0,12.612104259810078,12.669709172733683,0.0,59.99,0,0,0.11232876712328767,0.4,0.0,0,0
2022-04-07,287677.0,12.56959707807215,12.612104259810078,0.0,59.99,0,0,0.11506849315068493,0.4,0.0,0,0
2022-04-08,305294.0,12.629033801255089,12.56959707807215,0.0,59.99,0,0,0.1178082191780822,0.4,0.0,0,0
2022-04-09,367780.0,12.815242931307951,12.629033801255089,0.0,59.99,1,0,0.12054794520547946,0.4,0.0,0,0
2022-04-10,349862.0,12.765296928266007,12.815242931307951,0.0,59.99,1,0,0.1232876712328767,0.4,0.0,0,0
2022-04-11,258031.0,12.460838887220296,12.765296928266007,0.0,59.99,0,0,0.12602739726027398,0.4,0.0,0,0
2022-04-12,245836.0,12.412423993671009,12.460838887220296,0.0,59.99,0,0,0.12876712328767123,0.4,0.0,0,0
2022-04-13,234880.0,12.366834281892412,12.412423993671009,0.0,59.99,0,0,0.13150684931506848,0.4,0.0,0,0
2022-04-14,234557.0,12.365458171041071,12.366834281892412,0.0,59.99,0,0,0.13424657534246576,0.4,0.0,0,0
2022-04-15,269911.0,12.505851258929187,12.365458171041071,0.0,59.99,0,0,0.136986301369863,0.4,0.0,0,0
2022-04-16,282119.0,12.550087791322115,12.505851258929187,0.0,59.99,1,0,0.13972602739726028,0.4,0.0,0,0
2022-04-17,266656.0,12.493718467324907,12.550087791322115,0.0,59.99,1,0,0.14246575342465753,0.4,0.0,0,0
2022-04-18,239831.0,12.387693957209734,12.493718467324907,0.0,59.99,0,0,0.14520547945205478,0.4,0.0,0,0
2022-04-19,198248.0,12.197279095348181,12.387693957209734,0.0,59.99,0,0,0.14794520547945206,0.4,0.0,1,0
2022-04-20,202328.0,12.217650364340228,12.197279095348181,0.0,59.99,0,0,0.1506849315068493,0.4,0.0,1,0
2022-04-21,196417.0,12.188000320397427,12.217650364340228,0.0,59.99,0,0,0.15342465753424658,0.4,0.0,1,0
2022-04-22,205469.0,12.23305531686006,12.188000320397427,0.0,59.99,0,0,0.15616438356164383,0.4,0.0,1,0
2022-04-23,238625.0,12.382652751695014,12.23305531686006,0.0,59.99,1,0,0.1589041095890411,0.4,0.0,1,0
2022-04-24,237493.0,12.37789763897982,12.382652751695014,0.0,59.99,1,0,0.16164383561643836,0.4,0.0,1,0
2022-04-25,172305.0,12.057027244892884,12.37789763897982,0.0,59.99,0,0,0.1643835616438356,0.4,0.0,1,0
2022-04-26,161863.0,11.99451175545903,12.057027244892884,0.0,59.99,0,0,0.16712328767123288,0.4,0.0,1,0
2022-04-27,151887.0,11.93089868612158,11.99451175545903,0.0,59.99,0,0,0.16986301369863013,0.4,0.0,0,0
2022-04-28,147793.0,11.903574691273034,11.93089868612158,0.0,59.99,0,0,0.1726027397260274,0.4,0.0,0,0
2022-04-29,156014.0,11.957707435455344,11.903574691273034,0.0,59.99,0,0,0.17534246575342466,0.4,0.0,0,0
2022-04-30,190421.0,12.15699794088294,11.957707435455344,0.0,59.99,1,0,0.1780821917808219,0.4,0.0,0,0
2022-05-01,193468.0,12.17287257189916,12.15699794088294,0.0,59.99,1,0,0.18082191780821918,0.17,0.0,0,0
2022-05-02,148370.0,11.907471172829116,12.17287257189916,0.0,59.99,0,0,0.18356164383561643,0.17,0.0,0,0
2022-05-03,139215.0,11.843781962805807,11.907471172829116,0.0,59.99,0,0,0.1863013698630137,0.17,0.0,0,0
2022-05-04,126122.0,11.745012900245742,11.843781962805807,0.0,59.99,0,0,0.18904109589041096,0.17,0.0,0,0
2022-05-05,122864.0,11.718841470617813,11.745012900245742,0.0,59.99,0,0,0.1917808219178082,0.17,0.0,0,0
2022-05-06,126523.0,11.748187292474677,11.718841470617813,0.0,59.99,0,0,0.19452054794520549,0.17,0.0,0,0
2022-05-07,158782.0,11.975293769167877,11.748187292474677,0.0,59.99,1,0,0.19726027397260273,0.17,0.0,0,0
2022-05-08,152245.0,11.933252912649017,11.975293769167877,0.0,59.99,1,0,0.2,0.17,0.0,0,0
2022-05-09,110981.0,11.617123304982604,11.933252912649017,0.0,59.99,0,0,0.20273972602739726,0.17,0.0,0,0
