"Time","Elden Ring"
"2022-02-01",28
"2022-03-01",100
"2022-04-01",40
"2022-05-01",17
"2022-06-01",15
"2022-07-01",11
"2022-08-01",9
"2022-09-01",10
"2022-10-01",8
"2022-11-01",10
"2022-12-01",16
"2023-01-01",20
"2023-02-01",15
"2023-03-01",13
"2023-04-01",11
"2023-05-01",11
"2023-06-01",12
"2023-07-01",14
"2023-08-01",11
"2023-09-01",10
"2023-10-01",12
"2023-11-01",10
"2023-12-01",12
"2024-01-01",15
"2024-02-01",19
"2024-03-01",20
"2024-04-01",16
"2024-05-01",20
"2024-06-01",54
"2024-07-01",68
"2024-08-01",36
"2024-09-01",23
"2024-10-01",16
"2024-11-01",12
"2024-12-01",16
"2025-01-01",18
"2025-02-01",17
"2025-03-01",17
"2025-04-01",17
"2025-05-01",17
"2025-06-01",24
"2025-07-01",19
"2025-08-01",15
"2025-09-01",12
"2025-10-01",10
"2025-11-01",12
"2025-12-01",12
"2026-01-01",15
"2026-02-01",13
"2026-03-01",12
