Date,Avg_Player,Final_Price,Base_Price,Discount_%,Is_Sale,Is_Weekend,Is_Holiday,Days_Since_Release
2022-02-24,559624.0,59.99,59.99,0.0,0,0,0,0
2022-02-25,764835.0,59.99,59.99,0.0,0,0,0,1
2022-02-26,861538.0,59.99,59.99,0.0,0,1,0,2
2022-02-27,891638.0,59.99,59.99,0.0,0,1,0,3
2022-02-28,819143.0,59.99,59.99,0.0,0,0,0,4
2022-03-01,828001.0,59.99,59.99,0.0,0,0,0,5
2022-03-02,823527.0,59.99,59.99,0.0,0,0,0,6
2022-03-03,820921.0,59.99,59.99,0.0,0,0,0,7
2022-03-04,858316.0,59.99,59.99,0.0,0,0,0,8
2022-03-05,953426.0,59.99,59.99,0.0,0,1,0,9
2022-03-06,944190.0,59.99,59.99,0.0,0,1,0,10
2022-03-07,801048.0,59.99,59.99,0.0,0,0,0,11
2022-03-08,779297.0,59.99,59.99,0.0,0,0,0,12
2022-03-09,738122.0,59.99,59.99,0.0,0,0,0,13
2022-03-10,703725.0,59.99,59.99,0.0,0,0,0,14
2022-03-11,730458.0,59.99,59.99,0.0,0,0,0,15
2022-03-12,825277.0,59.99,59.99,0.0,0,1,0,16
2022-03-13,800301.0,59.99,59.99,0.0,0,1,0,17
2022-03-14,635680.0,59.99,59.99,0.0,0,0,0,18
2022-03-15,610847.0,59.99,59.99,0.0,0,0,0,19
2022-03-16,589570.0,59.99,59.99,0.0,0,0,0,20
2022-03-17,587284.0,59.99,59.99,0.0,0,0,0,21
2022-03-18,611562.0,59.99,59.99,0.0,0,0,0,22
2022-03-19,712336.0,59.99,59.99,0.0,0,1,0,23
2022-03-20,694446.0,59.99,59.99,0.0,0,1,0,24
2022-03-21,529881.0,59.99,59.99,0.0,0,0,0,25
2022-03-22,507115.0,59.99,59.99,0.0,0,0,0,26
2022-03-23,464532.0,59.99,59.99,0.0,0,0,0,27
2022-03-24,468107.0,59.99,59.99,0.0,0,0,0,28
2022-03-25,480052.0,59.99,59.99,0.0,0,0,0,29
2022-03-26,563389.0,59.99,59.99,0.0,0,1,0,30
2022-03-27,546667.0,59.99,59.99,0.0,0,1,0,31
2022-03-28,414946.0,59.99,59.99,0.0,0,0,0,32
2022-03-29,399484.0,59.99,59.99,0.0,0,0,0,33
2022-03-30,378861.0,59.99,59.99,0.0,0,0,0,34
2022-03-31,368498.0,59.99,59.99,0.0,0,0,0,35
2022-04-01,375625.0,59.99,59.99,0.0,0,0,0,36
2022-04-02,455103.0,59.99,59.99,0.0,0,1,0,37
2022-04-03,457182.0,59.99,59.99,0.0,0,1,0,38
2022-04-04,339322.0,59.99,59.99,0.0,0,0,0,39
2022-04-05,317968.0,59.99,59.99,0.0,0,0,0,40
2022-04-06,300169.0,59.99,59.99,0.0,0,0,0,41
2022-04-07,287677.0,59.99,59.99,0.0,0,0,0,42
2022-04-08,305294.0,59.99,59.99,0.0,0,0,0,43
2022-04-09,367780.0,59.99,59.99,0.0,0,1,0,44
2022-04-10,349862.0,59.99,59.99,0.0,0,1,0,45
2022-04-11,258031.0,59.99,59.99,0.0,0,0,0,46
2022-04-12,245836.0,59.99,59.99,0.0,0,0,0,47
2022-04-13,234880.0,59.99,59.99,0.0,0,0,0,48
2022-04-14,234557.0,59.99,59.99,0.0,0,0,0,49
2022-04-15,269911.0,59.99,59.99,0.0,0,0,0,50
2022-04-16,282119.0,59.99,59.99,0.0,0,1,0,51
2022-04-17,266656.0,59.99,59.99,0.0,0,1,0,52
2022-04-18,239831.0,59.99,59.99,0.0,0,0,0,53
2022-04-19,198248.0,59.99,59.99,0.0,0,0,0,54
2022-04-20,202328.0,59.99,59.99,0.0,0,0,0,55
2022-04-21,196417.0,59.99,59.99,0.0,0,0,0,56
2022-04-22,205469.0,59.99,59.99,0.0,0,0,0,57
2022-04-23,238625.0,59.99,59.99,0.0,0,1,0,58
2022-04-24,237493.0,59.99,59.99,0.0,0,1,0,59
2022-04-25,172305.0,59.99,59.99,0.0,0,0,0,60
2022-04-26,161863.0,59.99,59.99,0.0,0,0,0,61
2022-04-27,151887.0,59.99,59.99,0.0,0,0,0,62
2022-04-28,147793.0,59.99,59.99,0.0,0,0,0,63
2022-04-29,156014.0,59.99,59.99,0.0,0,0,0,64
2022-04-30,190421.0,59.99,59.99,0.0,0,1,0,65
2022-05-01,193468.0,59.99,59.99,0.0,0,1,0,66
2022-05-02,148370.0,59.99,59.99,0.0,0,0,0,67
2022-05-03,139215.0,59.99,59.99,0.0,0,0,0,68
2022-05-04,126122.0,59.99,59.99,0.0,0,0,0,69
2022-05-05,122864.0,59.99,59.99,0.0,0,0,0,70
2022-05-06,126523.0,59.99,59.99,0.0,0,0,0,71
2022-05-07,158782.0,59.99,59.99,0.0,0,1,0,72
2022-05-08,152245.0,59.99,59.99,0.0,0,1,0,73
2022-05-09,110981.0,59.99,59.99,0.0,0,0,0,74
2022-05-10,107748.0,59.99,59.99,0.0,0,0,0,75
2022-05-11,102381.0,59.99,59.99,0.0,0,0,0,76
2022-05-12,99343.0,59.99,59.99,0.0,0,0,0,77
2022-05-13,106998.0,59.99,59.99,0.0,0,0,0,78
2022-05-14,128222.0,59.99,59.99,0.0,0,1,0,79
2022-05-15,127344.0,59.99,59.99,0.0,0,1,0,80
2022-05-16,92721.0,59.99,59.99,0.0,0,0,0,81
2022-05-17,88789.0,59.99,59.99,0.0,0,0,0,82
2022-05-18,86217.0,59.99,59.99,0.0,0,0,0,83
2022-05-19,83155.0,59.99,59.99,0.0,0,0,0,84
2022-05-20,89290.0,59.99,59.99,0.0,0,0,0,85
2022-05-21,108490.0,59.99,59.99,0.0,0,1,0,86
2022-05-22,106427.0,59.99,59.99,0.0,0,1,0,87
2022-05-23,81727.0,59.99,59.99,0.0,0,0,0,88
2022-05-24,75594.0,59.99,59.99,0.0,0,0,0,89
2022-05-25,73972.0,59.99,59.99,0.0,0,0,0,90
2022-05-26,80599.0,59.99,59.99,0.0,0,0,0,91
2022-05-27,82817.0,59.99,59.99,0.0,0,0,0,92
2022-05-28,101265.0,59.99,59.99,0.0,0,1,0,93
2022-05-29,99061.0,59.99,59.99,0.0,0,1,0,94
2022-05-30,92058.0,59.99,59.99,0.0,0,0,1,95
2022-05-31,73505.0,59.99,59.99,0.0,0,0,0,96
2022-06-01,68870.0,59.99,59.99,0.0,0,0,0,97
2022-06-02,71525.0,59.99,59.99,0.0,0,0,0,98
2022-06-03,74568.0,59.99,59.99,0.0,0,0,0,99
2022-06-04,87387.0,59.99,59.99,0.0,0,1,0,100
2022-06-05,88609.0,59.99,59.99,0.0,0,1,0,101
2022-06-06,73812.0,59.99,59.99,0.0,0,0,0,102
2022-06-07,63803.0,59.99,59.99,0.0,0,0,0,103
2022-06-08,62093.0,59.99,59.99,0.0,0,0,0,104
2022-06-09,59878.0,59.99,59.99,0.0,0,0,0,105
2022-06-10,62770.0,59.99,59.99,0.0,0,0,0,106
2022-06-11,76917.0,59.99,59.99,0.0,0,1,0,107
2022-06-12,77475.0,59.99,59.99,0.0,0,1,0,108
2022-06-13,56575.0,59.99,59.99,0.0,0,0,0,109
2022-06-14,54643.0,59.99,59.99,0.0,0,0,0,110
2022-06-15,52494.0,59.99,59.99,0.0,0,0,0,111
2022-06-16,54636.0,59.99,59.99,0.0,0,0,0,112
2022-06-17,55629.0,59.99,59.99,0.0,0,0,0,113
2022-06-18,66351.0,59.99,59.99,0.0,0,1,0,114
2022-06-19,66906.0,59.99,59.99,0.0,0,1,1,115
2022-06-20,55272.0,59.99,59.99,0.0,0,0,1,116
2022-06-21,51013.0,59.99,59.99,0.0,0,0,0,117
2022-06-22,48571.0,59.99,59.99,0.0,0,0,0,118
2022-06-23,46994.0,59.99,59.99,0.0,0,0,0,119
2022-06-24,49982.0,59.99,59.99,0.0,0,0,0,120
2022-06-25,58560.0,59.99,59.99,0.0,0,1,0,121
2022-06-26,60338.0,59.99,59.99,0.0,0,1,0,122
2022-06-27,45795.0,59.99,59.99,0.0,0,0,0,123
2022-06-28,44689.0,59.99,59.99,0.0,0,0,0,124
2022-06-29,43418.0,59.99,59.99,0.0,0,0,0,125
2022-06-30,42476.0,59.99,59.99,0.0,0,0,0,126
2022-07-01,44977.0,59.99,59.99,0.0,0,0,0,127
2022-07-02,51559.0,59.99,59.99,0.0,0,1,0,128
2022-07-03,52405.0,59.99,59.99,0.0,0,1,0,129
2022-07-04,49052.0,59.99,59.99,0.0,0,0,1,130
2022-07-05,41274.0,59.99,59.99,0.0,0,0,0,131
2022-07-06,40235.0,59.99,59.99,0.0,0,0,0,132
2022-07-07,40219.0,59.99,59.99,0.0,0,0,0,133
2022-07-08,41239.0,59.99,59.99,0.0,0,0,0,134
2022-07-09,49357.0,59.99,59.99,0.0,0,1,0,135
2022-07-10,51228.0,59.99,59.99,0.0,0,1,0,136
2022-07-11,40782.0,59.99,59.99,0.0,0,0,0,137
2022-07-12,39669.0,59.99,59.99,0.0,0,0,0,138
2022-07-13,38827.0,59.99,59.99,0.0,0,0,0,139
2022-07-14,39814.0,59.99,59.99,0.0,0,0,0,140
2022-07-15,40931.0,59.99,59.99,0.0,0,0,0,141
2022-07-16,48232.0,59.99,59.99,0.0,0,1,0,142
2022-07-17,50686.0,59.99,59.99,0.0,0,1,0,143
2022-07-18,39741.0,59.99,59.99,0.0,0,0,0,144
2022-07-19,39266.0,59.99,59.99,0.0,0,0,0,145
2022-07-20,37757.0,59.99,59.99,0.0,0,0,0,146
2022-07-21,38334.0,59.99,59.99,0.0,0,0,0,147
2022-07-22,40316.0,59.99,59.99,0.0,0,0,0,148
2022-07-23,47304.0,59.99,59.99,0.0,0,1,0,149
2022-07-24,49352.0,59.99,59.99,0.0,0,1,0,150
2022-07-25,39401.0,59.99,59.99,0.0,0,0,0,151
2022-07-26,39247.0,59.99,59.99,0.0,0,0,0,152
2022-07-27,38561.0,59.99,59.99,0.0,0,0,0,153
2022-07-28,38246.0,59.99,59.99,0.0,0,0,0,154
2022-07-29,39789.0,59.99,59.99,0.0,0,0,0,155
2022-07-30,46293.0,59.99,59.99,0.0,0,1,0,156
2022-07-31,48106.0,59.99,59.99,0.0,0,1,0,157
2022-08-01,38945.0,59.99,59.99,0.0,0,0,0,158
2022-08-02,37343.0,59.99,59.99,0.0,0,0,0,159
2022-08-03,37321.0,59.99,59.99,0.0,0,0,0,160
