Date,Twitch_Avg_Viewers,Twitch_Peak_Viewers
2019-06-11,1,1
2019-06-14,7,7
2019-08-19,3,7
2019-10-24,2,4
2019-10-26,2,2
2019-11-07,2,2
2019-11-20,3,5
2019-11-22,1,2
2019-11-23,2,3
2019-12-13,130,202
2019-12-19,1,1
2020-03-05,3,5
2020-04-08,2,3
2020-04-27,1,1
2020-04-28,1,4
2020-04-29,1,4
2020-04-30,1,2
2020-05-01,1,2
2020-05-02,1,1
2020-05-07,52,126
2020-05-11,1,1
2020-05-13,77,87
2020-06-30,1,2
2020-07-18,2,3
2020-07-19,7,9
2020-07-23,73,103
2020-08-06,1,1
2020-09-15,90,90
2020-09-23,1,3
2020-09-26,1,1
2020-11-20,4,5
2020-12-10,2,5
2020-12-11,1,3
2020-12-12,2,8
2020-12-14,2,2
2020-12-24,4,5
2021-01-01,1,1
2021-01-02,2,2
2021-01-11,1,3
2021-01-12,1,1
2021-02-21,1,1
2021-02-25,2,4
2021-03-01,162,236
2021-03-02,5454,15266
2021-03-04,5406,12264
2021-03-05,23,24
2021-03-06,11,19
2021-03-10,180,180
2021-03-30,2,2
2021-04-02,1,1
2021-04-21,1,1
2021-04-29,5,6
2021-05-02,3,3
2021-05-04,19,20
2021-05-13,7,7
2021-05-22,1,1
2021-06-04,2,2
2021-06-05,2,2
2021-06-08,6,6
2021-06-10,5729,35307
2021-06-11,1432,15616
2021-06-12,2115,19151
2021-06-13,7,292
2021-06-14,4,26
2021-06-15,185,281
2021-06-16,69,255
2021-06-17,61,61
2021-06-18,7640,14342
2021-06-19,2244,13968
2021-06-21,11862,16131
2021-06-22,1,1
2021-06-24,7,10
2021-06-25,2,2
2021-06-26,6941,15301
2021-06-27,5165,16810
2021-06-29,1,2
2021-06-30,1,2
2021-07-01,7,7
2021-07-02,2851,17083
2021-07-03,9,16
2021-07-06,1431,14666
2021-07-10,27,36
2021-07-11,17,38
2021-07-12,9,14
2021-07-14,11,14
2021-07-15,14,25
2021-07-16,6,13
2021-07-23,8,17
2021-07-24,7,11
2021-07-28,3,6
2021-07-29,8,19
2021-07-30,10,22
2021-08-01,8,9
2021-08-02,17,36
2021-08-06,4,8
2021-08-07,4,10
2021-08-09,8,12
2021-08-10,8,11
2021-08-12,47,47
2021-08-13,6,10
2021-08-15,3,5
2021-08-20,9,12
2021-08-22,6,9
2021-08-24,8,14
2021-08-25,1,1
2021-08-27,11204,18870
2021-08-28,7366,19706
2021-08-29,1,1
2021-08-30,6,7
2021-08-31,7237,17619
2021-09-01,1,1
2021-09-03,26256,28473
2021-09-04,8,11
2021-09-07,3,5
2021-09-08,2,3
2021-09-09,3,3
2021-09-10,8,23
2021-09-11,3,5
2021-09-15,1,1
2021-09-19,3,6
2021-09-22,1,1
2021-10-03,2,3
2021-10-04,4,8
2021-10-06,1,1
2021-10-09,1,2
2021-10-10,4,8
2021-10-13,1,1
2021-10-18,2,3
2021-10-23,3,3
2021-10-28,2,3
2021-11-02,6,12
2021-11-04,13921,149758
2021-11-05,179,746
2021-11-06,399,4375
2021-11-07,7,23
2021-11-08,149,1755
2021-11-09,25,73
2021-11-10,8101,47384
2021-11-11,1727,17377
2021-11-12,37967,267951
2021-11-13,46823,216063
2021-11-14,18052,145816
2021-11-15,9367,75592
2021-11-16,164,621
2021-11-17,211,698
2021-11-18,60,403
2021-11-19,63,410
2021-11-20,52,126
2021-11-21,46,72
2021-11-22,168,3731
2021-11-23,16,38
2021-11-24,16,32
2021-11-25,17,31
2021-11-26,32,447
2021-11-27,162,433
2021-11-28,159,405
2021-11-29,116,425
2021-11-30,159,416
2021-12-01,127,395
2021-12-02,164,373
2021-12-03,47,342
2021-12-04,80,2285
2021-12-05,14,25
2021-12-06,26,160
2021-12-07,132,826
2021-12-08,11,21
2021-12-09,17,48
2021-12-10,64,141
2021-12-11,17,125
2021-12-12,33,316
2021-12-13,41,3696
2021-12-14,19,32
2021-12-15,26,68
2021-12-16,97,2755
2021-12-17,27,63
2021-12-18,29,118
2021-12-19,23,42
2021-12-20,21,33
2021-12-21,28,49
2021-12-22,22,32
2021-12-23,30,49
2021-12-24,29,52
2021-12-25,23,38
2021-12-26,25,45
