Game,Model,RMSE,MAE,MAPE,R2
EldenRing,SeasonalNaive(7),0.09967,0.06701,0.632,0.8297
EldenRing,"ARMAX(1,0,0)_dynF",0.05233,0.03907,0.37,0.9531
EldenRing,"ARMAX(2,1,2)_dynF",0.04884,0.0377,0.358,0.9591
HuntShowdown,SeasonalNaive(7),0.30336,0.1281,1.297,-0.0309
HuntShowdown,"ARMAX(1,0,0)_dynF",0.26539,0.08029,0.832,0.211
HuntShowdown,"ARMAX(1,1,1)_dynF",0.26294,0.07881,0.817,0.2256
RDR2,SeasonalNaive(7),0.14568,0.11201,1.034,0.4618
RDR2,"ARMAX(1,0,0)_dynF",0.05524,0.04153,0.385,0.9226
RDR2,"ARMAX(2,1,2)_dynF",0.05431,0.04025,0.373,0.9252
ReadyorNot,SeasonalNaive(7),0.34152,0.2234,2.364,0.5953
ReadyorNot,"ARMAX(1,0,0)_dynF",0.11491,0.07591,0.819,0.9542
ReadyorNot,"ARMAX(2,1,2)_dynF",0.10482,0.06629,0.715,0.9619
